name	scientificName	price	imageUrl	categoryName	company	route
MESTINON 60 MG 150 TAB.	PYRIDOSTIGMIN BROMIDE	803.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/mestinon-60-mg-150-tablets-392176.jpg?v=1720769503	CHOLINESTERASE INHIBITOR	MEDA AB > ONE PHARMA TECH	ORAL.SOLID
MICOBAN ORAL GEL 20 GM	LIDOCAINE+MICONAZOLE	6.90	https://demov2.egypt.dawatech.com/web/image/product.template/18689/image_1920	ANTIFUNGALS.IMIDAZOLES	AMRIYA	TOPICAL
MICONAZ 2% CREAM 20 GM	MICONAZOLE	15.00	https://demov2.egypt.dawatech.com/web/image/product.template/18097/image_1920	ANTIFUNGALS.IMIDAZOLES	MUP	TOPICAL
MICROSERC 24 MG 20 TAB.	BETAHISTINE	62.00	https://demov2.egypt.dawatech.com/web/image/product.template/14959/image_1920	DIAMINE OXIDASE INHIBITOR.ANTI VERTIGO	AMRIYA	ORAL.SOLID
MIGRANIL 30 F.C. TABS	ERGOTAMIN+CAFFEINE+MEPROBAMATE+ANALGINE+PHENOBARBITAL	54.00	https://demov2.egypt.dawatech.com/web/image/product.template/14917/image_1920	ANTIMIGRAINE	EL NILE.	ORAL.SOLID
MONTEKAL 10MG 10 TAB.	MONTELUKAST	40.00	https://demov2.egypt.dawatech.com/web/image/product.template/14994/image_1920	ASTHMA.ANTI-INFLAMMATORY.LEUKOTRIENE ANTAGONIST	EUROPEAN EGYPTIAN PHARM. IND.	ORAL.SOLID
MONTEL 10 MG 10 F.C. TAB.	MONTELUKAST	45.50	https://demov2.egypt.dawatech.com/web/image/product.template/15478/image_1920	ASTHMA.ANTI-INFLAMMATORY.LEUKOTRIENE ANTAGONIST	PHAROPHARMA > EMA PHARM	ORAL.SOLID
MOODAPEX 50 MG 30 F.C.TAB.	SERTRALINE	111.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/moodapex-50-mg-30-tablets-397015.jpg?v=1687638564	PSYCHIATRIC.ANTIDEPRESSANTS	MULTI-APEX	ORAL.SOLID
MOSAPRIDE 5 MG 30 F.C.TAB.	MOSAPRIDE	132.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/mosapride-5-mg-30-tablets-701423.jpg?v=1687638564	SELECTIVE 5HT4 AGONIST	WESTERN PHARMACEUTICALS INDUSTRIES > WESTERN PHARMA	ORAL.SOLID
MOTINORM 5 MG/5ML SUSP. 125 ML	DOMPERIDONE	31.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/motinorm-5-mg-5-ml-suspension-125-ml-382505.jpg?v=1707299121	ANTIEMETIC	GLAXO SMITHKLINE	ORAL.LIQUID
MOVIGIT 50 MG 30 F.C.TABS.	ITOPRIDE	60.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/movigit-50-mg-30-tablets-662382.jpg?v=1716285032	MOTILITY STIMULANT	MUP	ORAL.SOLID
MOXIFLOX 400 MG 10 F.C.TABS.	MOXIFLOXACIN	180.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/moxiflox-400-mg-10-tablets-264393.jpg?v=1687638565	ANTIBIOTIC.QUINOLONE	EVA PHARMA	ORAL.SOLID
MUCOBRAVE 600 MG 10 SACHETS	ACETYLCYSTEINE	75.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/mucobrave-600-mg-10-sachets-230785.jpg?v=1724443749	MUCOLYTIC	XEEDIA PHARMA	EFF
MUCOGEL ORAL SUSP. 180 ML	ALUMINIUM HYDROXIDE+MAGNESIUM HYDROXIDE+OXETHAZINE	37.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/mucogel-suspension-180-ml-849860.jpg?v=1744936906	ANTACID	EIPICO	ORAL.LIQUID
MUCOSTA 100 MG 20 F.C.TABS.	REBAMIPIDE	114.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/mucosta-100-mg-20-tablets-570377.jpg?v=1687639791	PEPTIC ULCER	OTSUKA	ORAL.SOLID
MYOFEN 30 CAPS.	CHLORZOXAZONE+IBUPROFEN	54.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/myofen-30-capsules-843842.jpg?v=1687733134	MUSCLE RELAXANT	EVA PHARMA	ORAL.SOLID
NAPIBRADINE 5 MG 30 F.C. TABS.	IVABRADINE	234.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/napibradine-5-mg-30-tablets-124373.jpg?v=1729745871	ANTI-ISCHEMIC	GLOBAL NAPI PHARMACEUTICALS	ORAL.SOLID
NASHILIV 10 MG 20 F.C.TABS.	OBETICHOLIC ACID	198.00	https://demov2.egypt.dawatech.com/web/image/product.template/5561/image_1920	FARNESOID X RECEPTOR (FXR) AGONIST	MARCYRL	ORAL.SOLID
NASHILIV 5 MG 20 F.C. TABS.	OBETICHOLIC ACID	126.00	https://demov2.egypt.dawatech.com/web/image/product.template/8147/image_1920	FARNESOID X RECEPTOR (FXR) AGONIST	MARCYRL	ORAL.SOLID
NASOFLUTIN NASAL SPRAY 120 DOSES	FLUTICASONE FUROATE	90.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/nasoflutin-nasal-spray-120-doses-3854788.jpg?v=1770609786	BRONCHODILATOR.ANTI-INFLAMMATORY.GLUCOCORTICOID STEROID	EUROPEAN EGYPTIAN PHARM. IND.	SPRAY
NASONEX 0.05% NASAL SPRAY 120 DOSES	MOMETASONE FUROATE	157.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/nasonex-005-nasal-spray-120-puffs-514994.jpg?v=1687733133	ANTI-INFLAMMATORY.GLUCOCORTICOID	MSD > MERCK SHARP & DOHME SCIENTIFIC OFFICE	SPRAY
NATRILIX SR 1.5 MG 30 C.TABS.	INDAPAMIDE	55.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/natrilix-sr-15-mg-30-tablets-554726.jpg?v=1698029122	ANTIHYPERTENSIVE.DIURETIC	SERVIER	ORAL.SOLID
NEBASCO 5 MG 30 TABS.	NEBIVOLOL HYDROCHLORIDE	105.00	https://demov2.egypt.dawatech.com/web/image/product.template/11325/image_1920	ANTI-HYPERTENSIVE.BETA BLOCKER.SELECTIVE B1	FUTURE PHARMACEUTICAL INDUSTRIES (FPI) > TABUK PHARMA	ORAL.SOLID
NEBILET 5 MG 14 TAB.	NEBIVOLOL HYDROCHLORIDE	102.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/nebilet-5-mg-14-tablets-311666.jpg?v=1687733133	ANTI-HYPERTENSIVE.BETA BLOCKER.SELECTIVE B1	MENARINI > EGYPTIAN PHARMACEUTICAL TRADING COMPANY	ORAL.SOLID
NEO-HAEMORRHAN 6 SUPP.	ALUMINIUM ACETATE+LIDOCAINE+PREDNISOLONE+RUSCUS EXTRACT+ZINC OXIDE	7.50	https://demov2.egypt.dawatech.com/web/image/product.template/18634/image_1920	HEMORRHOIDS	MISR	RECTAL
NEOMYCIN 500 MG 20 TAB.	NEOMYCIN	19.00	https://demov2.egypt.dawatech.com/web/image/product.template/17652/image_1920	AMINOGLYCOSIDE ANTIBIOTIC	MEMPHIS	ORAL.SOLID
NEOZOLID 600 MG 3 TABS.	AZITHROMYCIN	52.00	https://demov2.egypt.dawatech.com/web/image/product.template/15762/image_1920	ANTIBIOTIC.MACROLIDE	BORG	ORAL.SOLID
NEURAZINE 25 MG  20 TABS.	CHLORPROMAZINE	20.00	https://demov2.egypt.dawatech.com/web/image/product.template/18592/image_1920	PSYCHIATRIC.ANTIPSYCHOTICS	MISR	ORAL.SOLID
NEVILOB 2.5 MG 14 TAB.	NEBIVOLOL HYDROCHLORIDE	46.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/nevilob-25-mg-14-tablets-899268.jpg?v=1687733193	ANTI-HYPERTENSIVE.BETA BLOCKER.SELECTIVE B1	MARCYRL PHARMACEUTICAL INDUSTRIES (MPI)	ORAL.SOLID
NEVILOB PLUS 5/12.5 MG 20 TAB.	NEBIVOLOL HYDROCHLORIDE+HYDROCHLOROTHIAZIDE	86.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/nevilob-plus-5-mg-125-mg-20-tablets-2496394.jpg?v=1782310926	ANTI-HYPERTENSIVE.COMBINED BETA BLOCKER WITH DIURETIC	MARCYRL PHARMACEUTICAL INDUSTRIES (MPI)	ORAL.SOLID
NEVILOB PLUS 5/25 MG 20 TAB.	NEBIVOLOL HYDROCHLORIDE+HYDROCHLOROTHIAZIDE	92.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/nevilob-plus-5-mg-25-mg-20-tablets-2285953.jpg?v=1779639007	ANTI-HYPERTENSIVE.COMBINED BETA BLOCKER WITH DIURETIC	MARCYRL PHARMACEUTICAL INDUSTRIES (MPI)	ORAL.SOLID
NEVXAL FORTE 0.3% EYE DPOPS 5 ML	NEPAFENAC	44.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/nevxal-forte-03-eye-drops-5-ml-9094230.jpg?v=1783853047	NSAID	ORCHIDIA PHARMACEUTICAL INDUSTRIES > ORCHIDIA	EYE
NEWBEZIM 20 TAB.	CHYMOTRYPSIN+TRYPSIN	44.00	https://demov2.egypt.dawatech.com/web/image/product.template/17035/image_1920	ENZYME REPLACEMENT THERAPY	EL NILE.	ORAL.SOLID
NEXICURE 40 MG 20 F.C.TABS.	ESOMEPRAZOLE	152.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/nexicure-40-mg-20-tablets-251285.jpg?v=1715751836	PEPTIC ULCER.PROTON PUMP INHIBITOR	ATCO PHARMA > ZETA PHARM	ORAL.SOLID
NEXIUM 20 MG 28 F.C.TABS.	ESOMEPRAZOLE	332.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/nexium-20-mg-28-tablets-267128.jpg?v=1687733192	PEPTIC ULCER.PROTON PUMP INHIBITOR	ASTRA ZENECA	ORAL.SOLID
NEXIUM 40 MG 28 F.C.TABS.	ESOMEPRAZOLE	488.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/nexium-40-mg-28-tablets-652079.jpg?v=1687733191	PEPTIC ULCER.PROTON PUMP INHIBITOR	ASTRA ZENECA	ORAL.SOLID
NIZORAL 2% SHAMPOO 60 ML	KETOCONAZOLE	68.00	https://demov2.egypt.dawatech.com/web/image/product.template/13478/image_1920	ANTIFUNGALS.IMIDAZOLES	MINA PHARM > JANSSEN CILAG	TOPICAL
NO-URIC 100 MG 50 TABS.	ALLOPURINOL	12.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/no-uric-100-mg-50-tablets-552390.jpg?v=1747345993	ANTIGOUT.XANTHINE OXIDASE INHIBITOR	EIPICO	ORAL.SOLID
NOFLU 20 TABS.	CHLORPHENIRAMINE+PARACETAMOL(ACETAMINOPHEN)+PSEUDOEPHEDRINE	36.00	https://demov2.egypt.dawatech.com/web/image/product.template/17269/image_1920	COLD PRODUCTS	KAHIRA	ORAL.SOLID
NOLVADEX 10 MG  30 TABS.	TAMOXIFEN	160.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/nolvadex-10-mg-30-tablets-145530.jpg?v=1723908597	ANTI-ESTROGEN	ASTRA ZENECA	ORAL.SOLID
NORFLEX 100 MG 20 TABS.	ORPHENADRIN	26.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/norflex-100-mg-20-tablets-551275.jpg?v=1732995869	CNS.ANALGESIC.SKELETAL MUSCLE RELAXANT.ANTIMUSCARINIC	EIPICO > 3M HEALTH CARE	ORAL.SOLID
NORGESIC 20 TAB.	ORPHENADRIN+PARACETAMOL(ACETAMINOPHEN)	38.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/norgesic-20-tablets-589648.jpg?v=1687733197	CNS.ANALGESIC.SKELETAL MUSCLE RELAXANT.ANTIMUSCARINIC	EIPICO > RIKER- ENGLAND	ORAL.SOLID
NOSTAMINE EYE/NOSE DROPS 15 ML	CHLORPHENIRAMINE+NAPHAZOLINE	22.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/nostamine-eye-and-nose-drops-15-ml-417697.jpg?v=1725079286	CORNEAL VASCULARITY.ANTIHISTAMINE COMBINED WITH ALPHA 1 AGONIST	EIPICO	EYE
NOVONORM 0.5 MG 30 TABS.	REPAGLINIDE	66.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/novonorm-05-mg-30-tablets-171856.jpg?v=1687639875	ANTI-DIABETIC.SECRETAGOGUES.GLINIDES	NOVO NORDISK > EGYPTIAN PHARMACEUTICAL TRADING COMPANY	ORAL.SOLID
NOVONORM 1 MG 30 TABS.	REPAGLINIDE	92.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/novonorm-1-mg-30-tablets-538130.jpg?v=1687639875	ANTI-DIABETIC.SECRETAGOGUES.GLINIDES	NOVO NORDISK > EGYPTIAN PHARMACEUTICAL TRADING COMPANY	ORAL.SOLID
NOVONORM 2 MG 30 TABS.	REPAGLINIDE	92.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/novonorm-2-mg-30-tablets-8005457.jpg?v=1769222946	ANTI-DIABETIC.SECRETAGOGUES.GLINIDES	NOVO NORDISK > EGYPTIAN PHARMACEUTICAL TRADING COMPANY	ORAL.SOLID
OFUSIDIC VISCOUS EYE DROPS 5 ML	FUSIDIC ACID	28.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/ofusidic-viscous-eye-drops-5-ml-296904.jpg?v=1707749778	ANTIBIOTIC	ORCHIDIA PHARMACEUTICAL INDUSTRIES > ORCHIDIA	EYE
OLAPEX 10 MG  30 F.C.TABS.	OLANZAPINE	234.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/olapex-10-mg-30-tablets-830370.jpg?v=1691501570	PSYCHIATRIC.ANTIPSYCHOTICS	MULTI-APEX	ORAL.SOLID
OLAPEX 5 MG  30 F.C.TABS.	OLANZAPINE	160.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/olapex-5-mg-30-tablets-581790.jpg?v=1734468341	PSYCHIATRIC.ANTIPSYCHOTICS	MULTI-APEX	ORAL.SOLID
OLUMIANT 4 MG 28 F.C.TABS.	BARICITINIB	12847.00	https://demov2.egypt.dawatech.com/web/image/product.template/227/image_1920	JANUS KINASE (JAK) INHIBITOR	ELI LILLY	ORAL.SOLID
OMEGAPRESS 0.2 MG 30 TABS.	DESMOPRESSIN ACETATE	411.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/omegapress-02-mg-30-tablets-687290.jpg?v=1732995929	URINARY INCONTINENCE.ANTIDIURETIC	ATCO PHARMA > OMEGA PHARMA OPCI	ORAL.SOLID
OMEPAK 20 MG 14 CAPS.	OMEPRAZOLE	50.00	https://demov2.egypt.dawatech.com/web/image/product.template/15997/image_1920	PEPTIC ULCER.PROTON PUMP INHIBITOR	SEDICO	ORAL.SOLID
OMEPAK 20 MG 7 CAPS.	OMEPRAZOLE	19.80	https://demov2.egypt.dawatech.com/web/image/product.template/17621/image_1920	PEPTIC ULCER.PROTON PUMP INHIBITOR	SEDICO	ORAL.SOLID
OMEPAK 40 MG 14 CAPS.	OMEPRAZOLE	67.00	https://demov2.egypt.dawatech.com/web/image/product.template/12204/image_1920	PEPTIC ULCER.PROTON PUMP INHIBITOR	SEDICO	ORAL.SOLID
OPLEX-N PLUS 10 SUPP.	GUAIFENESIN+OXOMEMAZINE+PARACETAMOL(ACETAMINOPHEN)+SODIUM BENZOATE	32.00	https://cdn.shopify.com/s/files/1/0935/9550/0847/files/Oplex_N_Syrup_125ml_1615x1615_ac366ca1-5f8e-4d7a-b127-269d0d935c45.webp?v=1772267815	ANTI-COUGH.ANTITUSSIVE AND EXPECTORANT	AMRIYA	RECTAL
OPTIC SALINE 5% EYE DROPS 15 ML	SODIUM CHLORIDE	35.00	https://demov2.egypt.dawatech.com/web/image/product.template/17224/image_1920	SALINE	GRAND PHARMA > APIC	EYE
OPTIDEX -T EYE DROPS 5 ML	DEXAMETHASONE+TOBRAMYCIN	48.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/optidex-t-eye-drops-5-ml-418623.jpg?v=1694882721	ANTIBIOTIC WITH GLUCOCORTICOID	JAMJOOM PHARMACEUTICALS	EYE
OSELTAMIVIR 75 MG 10 CAPS.	OSELTAMIVIR	288.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/oseltamivir-75-mg-10-capsules-5915665.jpg?v=1767420547	ANTI-VIRAL.RELEASE PHASE	ARAB CAPS > ACDIMA INTERNATIONAL TRADING	ORAL.SOLID
OST-MAP 60 MG 20 CAPS.	ACEMETACIN	54.00	https://demov2.egypt.dawatech.com/web/image/product.template/13607/image_1920	NSAID.ANALGESIC	MULTI-APEX	ORAL.SOLID
OXALEPTAL 300 MG 30 F.C.TABS.	OXCARBAZEPINE	180.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/oxaleptal-300-mg-30-tablets-1684751.jpg?v=1758218366	ANTI-EPILEPTIC.CARBOXAMIDES	MASH PREMIERE	ORAL.SOLID
"OXALIPLATINE ""MYLAN"" 100 MG  VIAL"	OXALIPLATIN	1400.00	https://demov2.egypt.dawatech.com/web/image/product.template/582/image_1920	ANTINEOPLASTIC	MYLAN S.A.S-FRANCE > ONE PHARMA MEDICS	INJECTION
"OXALIPLATINE ""MYLAN"" 50 MG  VIAL"	OXALIPLATIN	800.00	https://demov2.egypt.dawatech.com/web/image/product.template/653/image_1920	ANTINEOPLASTIC	MYLAN S.A.S-FRANCE > ONE PHARMA MEDICS	INJECTION
OXITROPIL 1200 MG 60 F.C.TABS.	PIRACETAM	162.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/oxitropil-1200-mg-60-tablets-160880.jpg?v=1749879306	CEREBRAL CIRCULATORY ENHANCER	MULTI-APEX	ORAL.SOLID
PANADOL ACUTE HEAD COLD 20 F.C.TABS.	BROMPHENIRAMINE+PARACETAMOL(ACETAMINOPHEN)+PSEUDOEPHEDRINE	62.00	https://demov2.egypt.dawatech.com/web/image/product.template/12653/image_1920	COLD PRODUCTS	GLAXO SMITHKLINE	ORAL.SOLID
PANADOL ADVANCE 500 MG 24 F.C.TABS.	PARACETAMOL(ACETAMINOPHEN)	46.00	https://demov2.egypt.dawatech.com/web/image/product.template/10152/image_1920	ANTIPYRETIC	ALEXANDRIA > GLAXO SMITHKLINE	ORAL.SOLID
PANADOL ADVANCE 500 MG 48 F.C.TABS.	PARACETAMOL(ACETAMINOPHEN)	92.00	https://demov2.egypt.dawatech.com/web/image/product.template/10152/image_1920	ANTIPYRETIC	ALEXANDRIA > GLAXO SMITHKLINE	ORAL.SOLID
PANADOL EXTRA 24 F.C. TABS.	CAFFEINE+PARACETAMOL(ACETAMINOPHEN)	54.00	https://demov2.egypt.dawatech.com/web/image/product.template/2788/image_1920	MILD ANALGESIC	ALEXANDRIA > GLAXO SMITHKLINE	ORAL.SOLID
PANADOL MIGRAINE 30 F.C.TABS.	ACETYLSALICYLIC ACID+CAFFEINE+PARACETAMOL(ACETAMINOPHEN)	51.00	https://demov2.egypt.dawatech.com/web/image/product.template/13773/image_1920	ANALGESIC	GLAXO SMITHKLINE	ORAL.SOLID
PANTOPRAZOLE 40 MG 14 TABS.	PANTOPRAZOLE	90.00	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/pantoprazole-40-mg-14-tablets-923492.jpg?v=1748942804	PEPTIC ULCER.PROTON PUMP INHIBITOR	PHAROPHARMA	ORAL.SOLID
PARACETAMOL-ADCO 500 MG 20 TABS.	PARACETAMOL(ACETAMINOPHEN)	24.00	https://demov2.egypt.dawatech.com/web/image/product.template/15911/image_1920	ANTIPYRETIC	ARAB DRUG COMPANY (ADCO)	ORAL.SOLID
PARACETAMOL-ADWIC 500 MG 20 TABS.	PARACETAMOL(ACETAMINOPHEN)	34.00	https://demov2.egypt.dawatech.com/web/image/product.template/15911/image_1920	ANTIPYRETIC	EL NASR	ORAL.SOLID
PARACETAMOL-CID 500 MG 20 TABS.	PARACETAMOL(ACETAMINOPHEN)	16.00	https://demov2.egypt.dawatech.com/web/image/product.template/15911/image_1920	ANTIPYRETIC	CID	ORAL.SOLID
PAROXETINE CR 25 MG  30 F.C.TABS.	PAROXETINE	105.00	https://demov2.egypt.dawatech.com/web/image/product.template/9309/image_1920	PSYCHIATRIC.ANTIDEPRESSANTS	EVA PHARMA	ORAL.SOLID
PENTAMIX SYRUP 120 ML	GUAVA LEAVES+TILIA LEAVES+THYME LEAVES+FENNEL+EUCALYPTUS	69.00	https://demov2.egypt.dawatech.com/web/image/product.template/14137/image_1920	ANTI-COUGH	DEBEIKY	ORAL.LIQUID
